측정,측정망,측정소명,측정날짜,1일,2일,3일,4일,5일,6일,7일,8일,9일,10일,11일,12일,13일,14일,15일,16일,17일,18일,19일,20일,21일,22일,23일,24일,25일,26일,27일,28일,29일,30일,31일
미세먼지(PM10),도시대기,[강원 횡성군]횡성읍,2022년10월,27,18,13,4,5,6,6,9,8,7,14,16,15,16,16,20,27,21,22,28,42,53,33,12,10,15,27,26,22,20,18
미세먼지(PM10),도로변대기,[강원 춘천시]온의동,2022년10월,25,22,7,4,7,8,10,10,11,8,18,23,20,20,21,23,23,27,26,34,41,45,28,21,18,22,32,32,27,24,25
미세먼지(PM10),항만,[강원 동해시]동해항,2022년10월,35,32,31,10,8,14,8,22,21,18,27,26,32,35,30,31,43,32,31,35,48,45,29,14,24,36,43,23,34,20,32
미세먼지(PM10),항만,[강원 동해시]묵호항,2022년10월,19,25,16,14,10,13,10,16,18,10,13,20,18,24,23,20,43,27,26,25,30,31,26,12,14,20,25,18,13,12,16
미세먼지(PM10),교외대기,[경기 연천군]연천(DMZ),2022년10월,41,27,7,20,11,10,17,13,13,12,23,27,21,23,36,33,42,33,34,48,50,44,44,42,21,22,51,41,24,23,33
미세먼지(PM10),교외대기,[경기 이천시]설성면,2022년10월,43,34,17,15,16,12,8,9,11,9,22,22,19,22,,,,,,65,79,71,48,29,15,21,43,63,33,32,30
미세먼지(PM10),교외대기,[경기 파주시]파주,2022년10월,27,21,4,14,6,4,13,14,10,11,20,26,23,25,34,35,39,30,32,50,44,41,45,38,34,37,48,51,31,37,36
미세먼지(PM10),교외대기,[경기 포천시]관인면,2022년10월,19,17,4,5,4,3,,,,,16,15,15,15,17,23,30,17,16,30,33,45,36,20,14,16,28,24,20,20,21
미세먼지(PM10),도시대기,[경기 가평군]가평,2022년10월,22,19,8,4,4,6,6,7,9,5,13,14,13,14,15,19,24,17,17,21,28,34,29,21,13,13,27,23,22,20,17
미세먼지(PM10),도시대기,[경기 가평군]설악면,2022년10월,29,25,9,6,7,11,10,15,15,8,19,23,18,21,25,28,31,27,26,32,41,47,30,28,19,19,31,32,35,28,26
미세먼지(PM10),도시대기,[경기 고양시]식사동,2022년10월,62,36,16,16,18,17,24,17,10,8,19,31,40,46,46,42,30,28,31,53,59,44,40,36,38,47,48,60,41,38,45
미세먼지(PM10),도시대기,[경기 고양시]신원동,2022년10월,42,28,11,14,14,10,13,14,8,7,17,19,22,26,33,30,27,22,24,33,41,32,36,27,18,21,31,40,31,31,31
미세먼지(PM10),도시대기,[경기 고양시]주엽동,2022년10월,57,33,17,16,16,8,12,11,7,6,13,24,26,28,34,38,24,19,21,39,54,44,35,28,18,22,38,47,35,33,31
미세먼지(PM10),도시대기,[경기 고양시]행신동,2022년10월,44,29,12,13,14,8,9,8,5,4,12,15,20,25,31,35,32,26,21,33,47,35,36,29,14,19,29,43,29,29,28
미세먼지(PM10),도시대기,[경기 과천시]과천동,2022년10월,59,37,16,14,19,8,9,9,8,8,13,19,18,27,31,38,27,21,21,29,38,35,35,26,16,17,27,35,28,26,25
미세먼지(PM10),도시대기,[경기 과천시]별양동,2022년10월,61,35,13,13,27,10,14,11,8,9,16,19,18,25,31,41,27,20,22,33,51,44,35,24,16,17,28,41,28,25,27
미세먼지(PM10),도시대기,[경기 광명시]소하동,2022년10월,70,43,16,15,28,15,14,17,10,11,20,26,28,36,42,48,33,26,29,46,65,63,39,31,22,22,42,59,40,36,35
미세먼지(PM10),도시대기,[경기 광명시]철산동,2022년10월,72,40,16,14,24,14,14,13,11,10,17,27,29,35,42,53,33,26,31,44,68,68,36,32,24,22,42,54,38,35,35
미세먼지(PM10),도시대기,[경기 광주시]경안동,2022년10월,43,33,15,18,19,10,12,14,14,11,20,24,20,23,28,37,35,28,32,37,61,56,41,34,23,23,43,40,36,32,34
미세먼지(PM10),도시대기,[경기 광주시]곤지암,2022년10월,37,29,12,15,16,10,8,12,9,8,17,23,20,25,24,33,31,22,28,37,71,61,39,28,21,21,40,46,36,27,29
미세먼지(PM10),도시대기,[경기 광주시]오포읍,2022년10월,44,30,14,16,21,10,12,11,11,10,22,22,20,25,28,34,31,26,31,36,61,52,37,29,21,23,38,42,31,28,30
미세먼지(PM10),도시대기,[경기 구리시]교문동,2022년10월,39,23,12,14,6,7,7,5,8,7,16,17,19,22,24,34,27,21,25,33,46,42,34,24,14,16,33,35,21,21,24
미세먼지(PM10),도시대기,[경기 구리시]동구동,2022년10월,39,23,10,16,8,7,7,8,7,6,15,19,20,24,25,32,25,21,23,33,46,46,32,24,17,20,34,35,24,23,29
미세먼지(PM10),도시대기,[경기 군포시]당동,2022년10월,86,41,18,16,22,12,12,11,9,9,20,23,22,37,38,49,31,25,29,47,66,56,43,31,18,20,38,55,37,33,28
미세먼지(PM10),도시대기,[경기 군포시]산본동,2022년10월,76,39,17,15,23,10,11,9,8,8,15,18,20,31,34,43,32,24,22,37,56,47,43,28,14,17,30,45,31,28,27
미세먼지(PM10),도시대기,[경기 김포시]고촌읍,2022년10월,64,45,26,27,30,22,14,16,10,11,16,23,27,31,36,42,29,23,26,37,55,41,35,30,17,23,36,55,33,42,35
미세먼지(PM10),도시대기,[경기 김포시]사우동,2022년10월,57,35,11,17,17,8,14,16,8,10,16,27,30,32,43,42,28,22,26,41,57,49,36,32,22,27,38,47,34,36,35
미세먼지(PM10),도시대기,[경기 김포시]월곶면,2022년10월,49,29,8,15,14,7,13,12,8,5,12,21,30,27,39,42,25,20,26,44,55,42,35,26,20,29,40,43,27,33,43
미세먼지(PM10),도시대기,[경기 김포시]한강신도시,2022년10월,70,42,19,26,27,15,18,18,8,9,20,34,36,35,51,46,33,33,36,50,71,56,41,35,26,38,48,54,37,39,50
미세먼지(PM10),도시대기,[경기 남양주시]금곡동,2022년10월,36,23,13,12,7,5,8,7,9,8,14,16,16,19,21,26,25,21,20,28,39,43,30,23,14,14,27,27,18,17,19
미세먼지(PM10),도시대기,[경기 남양주시]별내동,2022년10월,46,26,13,15,11,10,12,12,12,13,20,21,22,26,29,33,31,24,23,36,50,48,37,29,19,20,34,37,25,23,26
미세먼지(PM10),도시대기,[경기 남양주시]오남읍,2022년10월,38,26,15,11,8,7,8,8,8,7,16,16,18,21,23,27,26,18,20,28,35,34,31,24,15,15,29,31,21,20,23
미세먼지(PM10),도시대기,[경기 남양주시]와부읍,2022년10월,43,27,15,14,6,4,7,6,9,8,17,17,17,22,24,33,30,22,24,33,49,50,34,26,13,14,34,33,20,24,22
미세먼지(PM10),도시대기,[경기 남양주시]진접읍,2022년10월,40,28,16,14,8,7,8,9,11,9,18,22,23,27,28,31,27,23,25,35,45,38,33,27,17,20,34,37,26,26,26
미세먼지(PM10),도시대기,[경기 남양주시]화도읍,2022년10월,37,23,8,7,6,7,8,10,13,10,18,20,17,20,20,30,32,25,25,35,49,50,39,28,16,19,33,31,24,26,24
미세먼지(PM10),도시대기,[경기 동두천시]보산동,2022년10월,30,22,7,11,6,4,7,7,6,4,11,18,17,20,19,22,24,17,19,31,44,37,33,25,16,18,27,30,21,18,24
미세먼지(PM10),도시대기,[경기 부천시]내동,2022년10월,91,33,8,22,22,24,26,15,5,5,27,35,41,51,47,45,35,34,39,49,73,67,36,41,34,26,48,62,40,36,33
미세먼지(PM10),도시대기,[경기 부천시]소사본동,2022년10월,89,40,13,16,19,13,13,12,10,11,19,30,30,35,44,54,31,25,33,47,68,67,42,31,25,24,45,55,37,33,35
미세먼지(PM10),도시대기,[경기 부천시]오정동,2022년10월,77,39,12,15,20,11,14,20,9,7,10,,,,,,,,,,,,,,,,,,,,
미세먼지(PM10),도시대기,[경기 부천시]중2동,2022년10월,89,38,11,14,17,11,12,11,8,8,14,26,27,35,42,50,29,20,25,48,68,59,40,29,26,20,40,55,38,34,31
미세먼지(PM10),도시대기,[경기 성남시]단대동,2022년10월,61,37,15,16,17,7,8,9,9,10,17,19,20,27,28,38,33,25,26,35,48,41,35,29,15,18,35,38,28,25,26
미세먼지(PM10),도시대기,[경기 성남시]복정동,2022년10월,70,42,18,17,20,10,12,13,12,12,20,26,24,31,35,43,33,27,29,37,51,44,40,30,18,20,37,42,34,30,28
미세먼지(PM10),도시대기,[경기 성남시]상대원동,2022년10월,47,28,11,16,18,9,9,11,8,7,17,19,22,26,26,37,28,24,26,34,62,48,36,27,16,16,34,38,23,21,24
미세먼지(PM10),도시대기,[경기 성남시]수내동,2022년10월,58,34,17,15,20,9,10,9,9,9,17,19,17,22,27,40,28,21,21,29,50,53,34,24,15,17,31,36,28,26,26
미세먼지(PM10),도시대기,[경기 성남시]운중동,2022년10월,61,32,13,20,22,10,12,10,7,8,15,19,20,22,28,42,28,21,23,32,55,40,41,25,14,14,31,41,28,23,26
미세먼지(PM10),도시대기,[경기 성남시]정자동,2022년10월,47,30,13,15,19,7,9,7,6,9,16,16,15,19,24,37,28,20,22,31,59,36,34,24,15,15,30,38,27,25,24
